632 contracts in generation 2 and 1 contract in generation 3:

mysql> select creatorAddress, count(*) as c from eth.contractCreatedContract where generation=2 group by creatorAddress order by c desc;
+--------------------------------------------+----+
| creatorAddress                             | c  |
| 0xc88057542690bcfda8fd353993b78cbac7514bd0 |  1 |
| 0xb65887fcfcc0f7d5e2bda1a45f139398a460f7ea |  1 |
| 0x27f4f1e59b2190100a2cd521d0cff2005ff0e701 |  1 |
| 0xa612b6997e7044349423f991559a37174ffdd4a9 |  1 |
| 0xb7c0fad42ca8b459b41cb3c539822019b096c954 |  1 |
| 0xc21dad1025d9a2308ac09623353a4aa6febd0af1 |  1 |
| 0x6d31f1a4711a88b202cb8f653f0e4ad23f16e763 |  1 |
| 0x666f366d9497c1bb73c19d596442828d8f55cbea |  1 |
| 0xa1d4ad346d5b32bae809ca8e3c5180e07a4020e9 |  1 |
| 0x900ef39a13382fdb9cdca9e840c1faad7d6f6fe2 |  1 |
| 0xd02d3d7ef211351c0d54863f543c3c8c9f755649 |  1 |
| 0x04757a619a077e98247aca9a6f1656cc49288dd9 |  1 |
| 0xbcc0e8832bc0683389e3edf32d303e338665c2de |  1 |
| 0x72e8af4d48daf8e218c0e39b42ae970df9af7f1c |  1 |
| 0xe8ec5a1b0bca09e33e2dad094f5d7931d67aed7c |  1 |
| 0xc30213cb3f5f9d397ca0dd4c834990d1198b0763 |  1 |
| 0xefb92f781ae993f0e44d3ac690c96c93a2c168a5 |  1 |
| 0x46598802a3b068d0f0e3bbbb5823a4119dcf95d9 |  1 |
| 0x56865165ce4ead55d26c7653b42fac1ff7eb1072 |  1 |
| 0xa2daae5dfb234e8ccf12aee75e624a428e5174f4 |  1 |
| 0x36a6e61da036fd580e1a1bab9010b23c1b622341 |  1 |
| 0x8c79ec3f260b067157b0a7db0bb465f90b87f8f1 |  1 |
| 0x6d6c9e5abfecf8a94c858991bf22d3e4af943f43 |  1 |
| 0xd6635f49a306b015c55bd1ff878e2c2c8413f247 |  1 |
| 0x3c52969ffe772157386aa09edf0af5e391a148c3 |  1 |
| 0x078e00cf831c5f8ecff637e76d38ebc6f0ea1d95 |  1 |
| 0x9f342db74e7d9ec09cb3edade102338c1e9fda1f |  1 |
| 0x5d4c86109ef38947f6fce6f17c53b3759007a18e |  1 |
| 0xef3967d178b90ad78e95acffad908feaa9d8153a |  1 |
| 0x8aecd269d3b113c48909f0f31b265b0ccc24b64f |  1 |
