most used contract hashes 12.09.2018:

mysql> select hash, occurrences from eth.contractCode order by occurrences desc limit 100;
+--------------------------------------------------------------------+------------+
| hash                                                               | occurrences |
| 0xacba076c92b75dedec4b9c017a3a3302c5ec20c366c3679cb553300158defd06 |       1963 |
| 0xde4c9d1a6fb8f3413ac6280a96e70d8d5509a1356742ce84e2978a35c594d053 |       1936 |
+--------------------------------------------------------------------+------------+


results from 27.01.2019:

mysql> select hash, occurrences from eth.contractCode order by occurrences desc limit 100;
+--------------------------------------------------------------------+-------------+
| hash                                                               | occurrences |
+--------------------------------------------------------------------+-------------+
| 0xce33220d5c7f0d09d75ceff76c05863c5e7d6e801c70dfe7d5d45d4c44e80654 |     1577003 |
| 0xa7e48f0d73eaf7c47528d6ab59ffae7b4aec13c5eb888b7359f014521767c848 |      633871 |
| 0x337c29fd9976d67b66b28034c1414c04861ce13b19a267c6e01d66f2cdb6bfba |      540103 |
| 0xa730bf4ae8b8d79a8c09ab8d29b845fdd4c90f497f2b15089a8c5320d8cd7d9c |      540102 |
| 0x07be01e7e7206fe31ecee91ad75dada65ad6ba433ae647a1b9330469f7c6677c |      391512 |
| 0x1e4366082444073b4bea23568c108c4288f2293bf126f5cd6359c41ec52fc7fe |      311166 |
| 0xae1af30a21312b72edcb045f5268155e027b81270fe04dc2921f94bb804705b7 |      306611 |
| 0x647d5d7eb5af6fbf9ed95320cadf658cec3819ffa536adc7b6387fdf1b72123d |      176910 |
| 0xf0b332bc44312957c41e1c20a16725fe869fe75441fd6ffd6bd0e13f2703d1ea |      142581 |
| 0x088d3b8b14b83434195ee2e465e7e18499b417c5fa77d9084375c533989795b2 |      125327 |
| 0xf99af0b81dc988ac8cd1fca36090f280110777e0d6f9304383921260e7ac2327 |      122463 |
| 0x9cf4100dc54b4bd5e52ecde8ef8a513d1b824d836da0dc1cce7f34b3b722b7de |       89136 |
| 0x70ad4b67983a7155fe3bebdb663903770c4e05bd23671cb1fe7bab63ceba31f6 |       85782 |
| 0x0865cec1e9ac3048b12a85fc3b9fbc682c3831784e3396416635df4cb88c3fdd |       68251 |
| 0xaffe208456e818f69a73122832d6db3a7b93175f3bf83dd7f080d11743c81ea9 |       65600 |
| 0x29164acf9a06c22bbe9da20100d94116c6ef93f44a5b58ebd6e1954c3bf436df |       59614 |
| 0xa05fc946278f27029157571be9b363c0f9a66e866e2bc779e1f64e9cf60fd70a |       58182 |
| 0xdcf182706ef7caf1dfa3ff3529136ec4e3be7dcc63bc11da5930a45aa2e59b05 |       58182 |
| 0x4092c8a5fb6487e931a5679ab058788c99bdb84fb49fdbf8cd5dc131e8a2f19f |       55449 |
| 0x7a3670f78c75958f13f8579474b348612a80af61fa9b61b2c81c415523f17059 |       42617 |
| 0xd501926049cbaa26e07c749cecc8c5a297d7be5aff456040a85c65ba165af39d |       42566 |
| 0x4fd8f3d5d01ac986870f5c4c0c761fdf3e519b14f67e1ebf90c7046392ceac54 |       37628 |
| 0x303931f8ef9df9270c30e0ac139957f2641beba9374ab0f098cd92ffad96d5cc |       36710 |
| 0xc2d83c5e1e5dcb9487d2b2b5689520b4377d503cc54d63b144f88cb21835595c |       36565 |
| 0x3980451255e493e58008161f3645447b7f50756ea57a9af29b3dae54da936f0d |       33651 |
| 0x6683cfc30ed7dd6605aa84788407ff6ef5b76062a60a6dd0c8d1dfac5f801dc5 |       32844 |
| 0xb295f581dc18129473ef66c2cefea4da335452a4704bafda2777e09802f528fa |       31285 |
| 0x5674e1a4687e6c442e17f73c19b00c5a9b5d2427f3a35f2eaa2b4b8aa4b61057 |       30986 |
| 0x7a0822b834c55882ef78b3ce3accc7acf2ec37586cc797a5e7cbfc72efc464d9 |       29600 |
| 0xcbd377f7f2fb7a2bb8ae60d2f3bf704677000f1db23c014524ffcc7448425307 |       29054 |
| 0xcc51f2662e47ac26308e1d5858fca3f7a28fc3f6dce017d2e9019f76927ed74e |       27805 |
| 0xcf991db76896c91579ffd41c1e7f9e1e990d77738292fe12249da5122e47c121 |       22574 |
| 0x7c764d7b20b3a2cef2528776af549b65e45fb645c8bb26e3aa932bac7b24b02c |       22375 |
| 0x85d2f2643696432c62f7de4c08757a51239b90b6756e332320b77157855e9340 |       22087 |
| 0x49eb24945dac7b8c38401cc7bae07144cfcfed5c465a0d00bb69566106fcab82 |       19718 |
| 0x15f2adb176e17ebfd73c507d85e6c1bff295f733e4a4618fbf47a15b73148a65 |       18757 |
| 0x1c2edb66afc46f3d7732d88b3286980bf426164634944c81db0b284382654a9a |       18607 |
| 0xb63f1301fb091c77d37a76836ebb08f64099652e8f39a465b42281fdddc71c77 |       16759 |
| 0x1dd608898fa124eeaa7680e346c6ec60ef6a7ceef91c82e109a3693b710051f2 |       16673 |
| 0x0a10d7410e5050512be00fa9cb75016d9e15208ebcebf6b54daad68c9ac38cff |       15534 |
| 0x83df57965f6e9f83bec2da0fa0751872a70cb8a8058087d4c29c08caa5796d7b |       15143 |
| 0xaa66ded9c66a7a9c592ad97477d57fe46f7a8ff2bdea8e68ab79955d8b0857b4 |       14222 |
| 0xe2c4e1761ae2f257385abfde3934e5beb5a3413d7c6a7ae9b3125f948d80bf6d |       13924 |
| 0xb7d43352b73a736432efad8ec584a23ae142522a0bbf506332c4f1ee52b76cc7 |       13181 |
| 0x424d239174bd8ebbf71008e9e68ac944874981f44ab48a5332ae9d6f53ad4be6 |       13073 |
| 0x2f7090ad776ebf3f912482a14ac011bca66d1eee9714684f1eb1f3c5c470517d |       12880 |
| 0x039183679aa5e01e27898ffe15860131c837e3fdc97dbe94a4821857378955d0 |       12149 |
| 0xe215b3188e9f4e5c575f71e93560b785f30e02b9b47b209ad5a94d3023ded7f9 |       11411 |
| 0x1659de68e6a279da28599e113109376d848bf72a54b56d945750294b8c97e773 |       11021 |
| 0xe13c06b80a48ad098afb1de4c7682633e1e6095593d09a1dcef1552f1336b6b9 |       10697 |
| 0x0355f2d97fa8e412f7845cf689ff25dd22df15a0e31d8b083f949da69b00f0df |       10280 |
| 0xc5d2460186f7233c927e7db2dcc703c0e500b653ca82273b7bfad8045d85a470 |       10204 |
| 0x6e315a09996c913200f32cf6b45cfb4bef8e4f355fdb74e7d066b398e6e5907d |       10072 |
| 0xfbc3de4c51e17960ecbd964d55dc5985faa8d1b8f43c855b82d96b9d6aa08d74 |        9736 |
| 0x64c5ad5f605f2364a0152b0e53795bb4c402f93c017962fa3cfb16b303338904 |        9250 |
| 0x00d3a9276d2c475845498d3b0d5d9afd9d827ec9a3845b8b4bd049a3821b3a1a |        9076 |
| 0xde4c9d1a6fb8f3413ac6280a96e70d8d5509a1356742ce84e2978a35c594d053 |        8108 |
| 0x3ad3f607a353582d97d575d924ee5cf6447f3298e3ad0a87ee61a13664ccf9a9 |        7699 |
| 0x05f2cadb6486616d3ed61a6243af2589c12c30bab95a6f1c720b6bb8b08b90f6 |        7531 |
| 0xf5a025aa1836ecb6d628d1ccf313a6c1f12566b798a7214750c4b83317fc6dba |        7497 |
| 0x8f054f79db07392f502466d2af954b3f43628b5740500456c7b792119fe00633 |        7196 |
| 0xc76eeb2dd86a6667299a1a795fb66a365714690a84ef64d65d5aae0b0d3fd5e7 |        7020 |
| 0x7825e3c20df0bb258b666a0471e2791022f9e0f05b9ceace84a931afc3742a62 |        6602 |
| 0xfe9671232a60356835d466fa407f26f21cf93957a962ffa2bcd7fa2f88ad9530 |        6575 |
| 0xd2ca7fb94a6c1969318e98c6c9b57d96f2ab57dc13f56a40ea9ebedfefe698d4 |        6183 |
| 0xeb25a41bdb9bc23719bc83c88b9129f39815fe563dffad04d8a02a9007f5f8ae |        5973 |
| 0x589ad5bc24099f4fa0460356b18ad4363ce33da36b2da660186f391beb1a76cf |        5668 |
| 0x38429f24048553a403883d8f2e27c3265781dec482982cbb3d503303a2505de4 |        5599 |
| 0xfc102dffed8f5f30850a6fa59f7f4b8c94719c5e531bba1b7bac9df1869f6ccd |        5391 |
| 0x1a043f72e26782d3c692af3e198be9666c4f28cbb99844f2b3133c5bec4441c1 |        5335 |
| 0x38665606aab6c07980c3dec894f0bb46f17af596ac4c7b95675d083f0983fcea |        5235 |
| 0x1321ea6e25a5749355da2241146bbf958bfae0b3ad26055be4e812d55f313cee |        4849 |
| 0x71a6a361d92065d01c3ebdb6f1628c9fc010ab3438764e64df28d526ba9c68ff |        4740 |
| 0x390f3fdf149604bf396557cd03afc88bc315f0324345307d7dd3e91277a05494 |        4570 |
| 0x28b0bc4484465c069e6f52a8145019150dfe0e003347134e93501fef7fd95616 |        4486 |
| 0xa24e966a6a8d544de0580e9f47c0085de7430f9cce6dbc0f8b8bc9f009cada59 |        4374 |
| 0x275de9ad56a31e0103ff1ebe5b808848ef57f26d229049da5ee4cca851c93e23 |        4364 |
| 0xcaa9fbe8b8c2fbf6f29d3442e4545d1619b8369a7091f7ac2b42c30599726e1c |        4325 |
| 0x6616342f393c4c24c5920aa30e303a37c55734ed0ebcb1656727a7bb8e36c13f |        4048 |
| 0x4082501439ef7b8d67443a975527ee1a40dfb02cf713b8f3f874ce6d3410ccf7 |        3770 |
| 0x55c6cddd3f9d7c712513bd120709a89bdf7028248ad1118bc8d56c16270493b8 |        3770 |
| 0xc78be5c20567e6ec6afcd01f2a9bded2a75a02b670db59e31d13de8a6af1034f |        3694 |
| 0x3df015aead3cb68344240478b0d94cdf94e06822fe5dc03ecd51e7b121285380 |        3693 |
| 0x3f2af6f0c4479232c771ef8b4a220279c811191ed0ac085ac3a676a25f282445 |        3679 |
| 0x74dcae2a23a1854b142b780b8586cf9c3d860591b9883e740ebcdec88518afc8 |        3651 |
| 0x2204f9a0d1687b17d92812e49e91f7e50f703bc82b54cdffc66be94f9050fa07 |        3650 |
| 0xe1eba6de58ed44641fc1b38ca9f1be3b37a4ff018b50bd864010958745dbc62d |        3590 |
| 0x8b26343894e7e5d9e7bf28d547f4dac55cc9617cadabcf7405c44cf099e44fd7 |        3557 |
| 0x9b0854b07c8f3f67ddd0f3e9b3b02b8879a6e9aa6ed2f7ba6a987e060cce8d04 |        3480 |
| 0x27c02a1a822222c2ad6a9a01021c98abf05dbe6d19540035756ef97697ed41d0 |        3443 |
| 0x9c28aa5054c450f61c9179640ec7bf424308f8611885d9d5e7791826c0a98d01 |        3380 |
| 0x14ba6d09311ec3cf0e86b6163f1b36937ed829aa5fb13246a6f5c55fd91a79b5 |        3350 |
| 0xc29abfe69af1dec129180f84e251aab985da41f62d94dfa56ac94637772cdf86 |        3265 |
| 0x674c51cc3b95eb5f1a080fe9535c37e0ad67e3f1721e4fa7e2d6f4033251baf5 |        3265 |
| 0xac50a1417816b7088198cdc472c13d9b7b8b68cd72ddd41509bf185494584cd1 |        3221 |
| 0x7866c0f1a681770440aee96a194ca7ea4fa526c3c51ec7d16b3963cbc3405a63 |        3189 |
| 0x186fcf2ec9617137c15f1052537195ed628d46f9c56f41c03033da0e881e2d5a |        3106 |
| 0xb79497b68d9cac724c7401c65df2531546e53013ef32fed9e8227e23cf40c858 |        3052 |
| 0x3b9abdb358b2114484e548cbffd4813885c23162cf874015cb1f9fb3e5919f22 |        3040 |
| 0x91859bdca892c2ecd31dfe56019cddb2dce49c1c346611aa9045e58929a3718c |        2990 |
+--------------------------------------------------------------------+-------------+
